Rank,Name,Net Worth,Source
2443,Yinon Costica,$1.2 B,Security startup
2443,Ami Luttwak,$1.2 B,Security startup
2443,Roy Reznik,$1.2 B,Security startup
2443,Assaf Rappaport,$1.2 B,Security startup
2449,J. Christopher Flowers,$1.2 B,Investments
2450,Philip Fayer,$1.2 B,Online payments
2451,Zeng Kaitian,$1.2 B,Online games
2452,Kalpana Parekh,$1.2 B,Adhesives
2453,Zhou Yahui,$1.2 B,online games
2454,Chey Tae-won,$1.2 B,"Oil, semiconductor"
2455,Axel Oberwelland & family,$1.2 B,Candy
2456,Pan Laican,$1.2 B,Soy sauce
2457,Li Jinyang,$1.2 B,Mining
2458,Nan Cunhui,$1.2 B,Power equipment
2459,Eduardo Hochschild,$1.2 B,mining
2460,Murdaya Poo,$1.2 B,Diversified
2461,Pradeep Rathod,$1.2 B,Plastic products
2462,Thomas Sandell,$1.2 B,Hedge funds
2463,Lu Zongjun,$1.2 B,Logistics
2464,Wu Zhongyi,$1.2 B,electronics
2465,Chung Mong-joon,$1.2 B,"shipbuilding, industrial machines"
2466,Li Zhongchu,$1.2 B,Software
2467,Wang Linpeng,$1.2 B,Furniture retailing
2468,Ankur Jain,$1.2 B,Rewards firm
2469,LeBron James,$1.2 B,Basketball
2470,Mathias Doepfner,$1.2 B,Media
2471,Martin Klenk,$1.2 B,Enterprise software
2472,Liang Zhaoxian,$1.2 B,Appliances
2473,Lim Wee Chai,$1.2 B,Rubber gloves
2474,Rao Wei & family,$1.2 B,Pharmaceuticals
2475,Yasuhiro Fukushima,$1.2 B,Video games
2476,Li Weiwei,$1.2 B,Online games
2477,Richard Fairbank,$1.2 B,banking
2478,Yasseen Mansour,$1.2 B,Diversified
2479,Chen Huwen,$1.2 B,Stationery
2480,Magic Johnson,$1.2 B,"Basketball, investments"
2481,Antonio Luiz Seabra,$1.2 B,Cosmetics
2482,Ke Guihua,$1.2 B,Auto parts
2483,Li Zhiyuan,$1.2 B,Electrical components
2484,Dick Wolf,$1.2 B,Law & Order
2485,Yuri Maximov,$1.2 B,IT
2486,Gao Yi & family,$1.2 B,Pharmaceuticals
2487,Anand Surana,$1.2 B,Pharmaceuticals
2487,Dilip Surana,$1.2 B,Pharmaceuticals
2489,Tony Tan Caktiong,$1.2 B,Food
2490,Chua Thian Poh,$1.2 B,Real estate
2491,Subbamma Jasti,$1.2 B,Pharmaceuticals
2492,Charles Gibbon,$1.2 B,Software
2493,Andrei Kosogov,$1.2 B,Banking
2494,Sun Weijie,$1.2 B,Oilfield equipment
2495,Wirastuty Fangiono,$1.2 B,Palm oil
2496,Aloke Lohia,$1.2 B,Petrochemicals
2497,Habil Khorakiwala,$1.2 B,pharmaceuticals
2498,Paritosh Garg,$1.2 B,Manufacturing
2499,Larry Fink,$1.2 B,money management
2500,Marie-Hélène Peugeot-Roncoroni & family,$1.2 B,"Peugeot, investments"
2501,Stephane Bonvin,$1.2 B,Real estate
2502,Keiichi Shibahara,$1.2 B,Healthcare
2503,Manny Stul,$1.2 B,Toys
2504,Huang Guanlin,$1.2 B,"Textiles, apparel"
2505,Wang Jilei,$1.2 B,Logistics
2506,Dong Zengping,$1.2 B,Electronics
2507,Stelios Haji-Ioannou,$1.2 B,EasyJet
2508,Fahed Hariri,$1.2 B,"Construction, investments"
2509,Yang Yuanqing,$1.2 B,computers
2510,He Zhenggang,$1.2 B,Chemicals
2511,Dai Wenyuan & family,$1.2 B,AI
2512,Zhou Chengjian,$1.2 B,Fashion retail
2513,Zhuang Kuilong & family,$1.2 B,polyester
2514,Andrew Tisch,$1.2 B,Loews
2515,Tsao Ter-fung,$1.2 B,Food
2516,Zeng Chaoyi,$1.2 B,Aluminum products
2517,Said Gutseriev,$1.2 B,"Retail, investments"
2518,Kenzo Tsujimoto,$1.2 B,Video games
2519,Scott Smith,$1.2 B,Cloud computing
2520,Eddy Sugianto,$1.1 B,Coal
2521,Jose Isaac Peres & family,$1.1 B,Shopping malls
2522,Sara Liu,$1.1 B,Computer hardware
2523,Jane Goldman,$1.1 B,Real estate
2524,Gleb Fetisov,$1.1 B,Investments
2525,Paul Lee,$1.1 B,Battery separators
2526,Shigefumi Wada,$1.1 B,Software
2527,Clemens Toennies,$1.1 B,Meat processing
2527,Robert Toennies,$1.1 B,Meat processing
2529,Vera Rechulski Santo Domingo,$1.1 B,Beer
2530,Haryanto Tjiptodihardjo,$1.1 B,Manufacturing
2531,Ravi Puravankara,$1.1 B,Real Estate
2532,Nguyen Dang Quang,$1.1 B,"Consumer products, banking"
2533,Craig Abod,$1.1 B,Information Technology
2534,Li Qiong,$1.1 B,online games
2535,Michael Patterson,$1.1 B,Private equity
2536,Scot French,$1.1 B,Private equity
2537,Nicholas Woodman,$1.1 B,GoPro
2538,Andrei Rappoport,$1.1 B,Investments
2539,Zhang Keqiang,$1.1 B,Real estate
2540,Anne Werninghaus,$1.1 B,Industrial machinery
2541,Tang Aoqi & family,$1.1 B,Auto parts
2542,Simona Giorgetta,$1.1 B,Chemical products
2543,Ruben Vardanyan & family,$1.1 B,Investment banking
2544,Hajime Satomi,$1.1 B,"Video games, Pachinko"
2545,Ren Jinsheng & family,$1.1 B,Pharmaceutical
2546,Tan Lili,$1.1 B,Feed
2547,Ken Kendrick,$1.1 B,"Banking, sports team"
2548,Harry Klagsbrun,$1.1 B,financial services
2549,Mark Dixon,$1.1 B,Office real estate
2550,Marina Caprotti,$1.1 B,Supermarkets
2550,Giuliana Caprotti,$1.1 B,Supermarkets
2552,Chen Huxiong,$1.1 B,Stationery
2553,Ryan Israel,$1.1 B,Hedge funds
2554,Li Guoqiang,$1.1 B,Auto dealerships
2555,Zhang Xin,$1.1 B,Real estate
2556,Alfredo Harp Helu & family,$1.1 B,"Banking, investments"
2557,Muhammed Aziz Khan,$1.1 B,Power
2558,Kostyantin Zhevago,$1.1 B,Mining
2559,Michael Kum,$1.1 B,Hotels
2560,Zhang Jianguo & family,$1.1 B,energy
2561,Chang Jianming & family,$1.1 B,Industrial equipment
2562,Keeree Kanjanapas,$1.1 B,Transportation
2563,Fu Guangming & family,$1.1 B,Poultry
2564,Peter Kamprad,$1.1 B,IKEA
2564,Mathias Kamprad,$1.1 B,IKEA
2564,Jonas Kamprad,$1.1 B,IKEA
2567,Lalit Khaitan,$1.1 B,alcohol
2568,Mike Speiser,$1.1 B,Software
2569,Gyorgy Gattyan,$1.1 B,Adult Entertainment
2570,Stanley Motta,$1.1 B,Finance
2571,Shlomo Eliahu,$1.1 B,Insurance
2572,John Christodoulou,$1.1 B,Real estate
2573,Michelle Zatlyn,$1.1 B,Cybersecurity
2574,Lev Kvetnoi,$1.1 B,Cement
2575,Hao Hong,$1.1 B,Pharmaceuticals
2576,Wang Shih-Chung,$1.1 B,Pneumatic equipments
2577,Alexander Rinke,$1.1 B,Enterprise software
2578,Haluk Bayraktar,$1.1 B,Military drones
2579,Roy Vagelos,$1.1 B,pharmacueticals
2580,Jerry Seinfeld,$1.1 B,Comedy
2581,Xiu Laigui,$1.1 B,Pharmaceuticals
2581,Wang Jianyi,$1.1 B,Fiber optic cables
2583,Pavel Demidov & family,$1.1 B,Agriculture
2584,Peter-Alexander Wacker,$1.1 B,Chemicals
2585,Yu Faxiang,$1.1 B,"Tourism, cultural industry"
2586,Sun Huaiqing & family,$1.1 B,Cosmetics
2587,Neil Kadisha,$1.1 B,Qualcomm
2588,Eric Ya Shen,$1.1 B,Online apparel retail
2589,Farhad Ebrahimi,$1.1 B,Solar panels
2590,Jiang Zhaobai,$1.1 B,Real estate
2591,John Lim,$1.1 B,real estate
2592,Robert Peugeot & family,$1.1 B,"Peugeot, investments"
2593,Vladislav Sviblov,$1.1 B,Mining
2594,Xue Jiping,$1.1 B,Cable
2595,Raymond Kwok,$1.1 B,Real estate
2596,Yasuhide Uno,$1.1 B,Payment services
2597,Madan Mohanka,$1.1 B,Manufacturing
2598,Michaela Herz,$1.1 B,Coffee
2598,Christian Herz,$1.1 B,Coffee
2600,Benedicte Find,$1.1 B,Medical devices
2601,Michael Andlauer,$1.1 B,"Logistics, sports"
2602,Koo Bon-neung,$1.1 B,Electronics
2603,Lucia Maggi & family,$1.1 B,Agribusiness
2604,Morris Kahn,$1.1 B,Software
2605,Lisa Su,$1.1 B,Semiconductors
2606,Amy Goldman Fowler,$1.1 B,Real estate
2607,Benjamin Zhengmin Pan & family,$1.1 B,Electronics
2608,Hiroshi Ishibashi,$1.1 B,Tires
2609,Xiang Wenbo,$1.1 B,Manufacturing
2610,Marina Budiman,$1.1 B,Data centers
2611,Murat Vargi,$1.1 B,Telecom
2612,Rafal Brzoska,$1.1 B,parcel lockers
2613,Analjit Singh,$1.1 B,Diversified
2614,Miao Yongjun,$1.1 B,Clinical diagnostics
2615,Nicholas Howley,$1.1 B,Aerospace
2616,Mao Zhongwu,$1.1 B,Manufacturing
2617,Veronica Squinzi,$1.1 B,Chemical products
2617,Marco Squinzi,$1.1 B,Chemical products
2619,Chen Shibin,$1.1 B,Quartz products
2620,Randal Nardone,$1.1 B,"Investments, energy"
2621,Hua Xuande & family,$1.1 B,Pharmaceuticals
2622,Benoit Dageville,$1.1 B,Software
2623,Lee Jay-hyun,$1.1 B,"food products, entertainment"
2624,Weijian Shan,$1.1 B,private equity
2625,Surin Upatkoon,$1.1 B,"Telecom, lotteries, insurance"
2626,Wen Pengcheng & family,$1.1 B,Agribusiness
2627,Ma Yunsheng,$1.1 B,energy
2628,Clelia Haji-Ioannou,$1.1 B,EasyJet
2629,Livia Voigt,$1.1 B,Industrial Machinery
2629,Dora Voigt de Assis,$1.1 B,Industrial Machinery
2631,Kim Jung-woong,$1.1 B,Cosmetics
2632,Pongsak Viddayakorn,$1.1 B,Hospitals
2633,M.P. Ramachandran,$1.1 B,Consumer products
2634,Wang Jinhua,$1.1 B,metals and mining
2635,William Franke,$1.1 B,Low-cost airlines
2636,Chris Ellison,$1.1 B,Mining
2637,Orion Hindawi,$1.1 B,Software
2638,Maria Frias,$1.1 B,Media
2639,Benny Suherman,$1.1 B,Cinemas
2640,Michael Gans & family,$1.1 B,Supply chain services
2641,Diane Kemper,$1.1 B,Real estate
2642,Tang Xiuguo,$1.1 B,Manufacturing
2643,William Fung,$1.1 B,Sourcing
2644,David Fattal & family,$1.0 B,hotels
2645,Simone Maag de Moura Cunha,$1.0 B,Medical Devices
2646,Tibor Veres,$1.0 B,"Real Estate, Investments"
2647,Liang Qin & family,$1.0 B,Semiconductor devices
2648,Joe Kiani,$1.0 B,Medical devices
2649,Yao Hsiao Tung,$1.0 B,manufacturing
2650,Chen Xueli,$1.0 B,Pharmaceuticals
2651,Niti Osathanugrah,$1.0 B,"Energy drinks,investments"
2652,Carsten Koerl,$1.0 B,Sports data
2653,Krishna Kumar Bangur,$1.0 B,Graphite electrodes
2654,Christian Angermayer,$1.0 B,Investments
2655,Qian Ying,$1.0 B,Pig breeding
2656,Lucio Co,$1.0 B,Retail
2657,Liu Ming Chung,$1.0 B,Paper
2658,Igor Kudryashkin,$1.0 B,metallurgy
2659,Dirk Stroeer,$1.0 B,advertising
2660,Werner O. Weber,$1.0 B,Electronic components
2661,Chang Kuo-Ming,$1.0 B,Transportation
2662,Sergey Shishkarev,$1.0 B,Transport
2663,Zeng Chaolin,$1.0 B,Aluminium
2664,Abigail Bennett,$1.0 B,Liquor
2665,Kim Taek-jin,$1.0 B,Online games
2666,Victor Fung,$1.0 B,Sourcing
2667,Ric Elias,$1.0 B,Media
2668,Shunsaku Sagami,$1.0 B,M&A brokerage
2669,Thongma Vijitpongpun,$1.0 B,Real estate
2670,Danilo Iervolino,$1.0 B,Online universities
2671,Tianqiao Chen,$1.0 B,Online games
2672,Luigi Cremonini & family,$1.0 B,meat processing
2673,Blair Hull,$1.0 B,
2674,Liu Xiucai & family,$1.0 B,Chemicals
2675,Surendra Hiranandani,$1.0 B,real estate
2676,Cheng Lili,$1.0 B,Poultry breeding
2677,Robert Knauf,$1.0 B,building materials
2678,Martin Knauf,$1.0 B,building materials
2679,Andy Fang,$1.0 B,food delivery app
2680,Tang Jinkui & family,$1.0 B,"Textiles, petrochemicals"
2681,Andrei Kuzyaev,$1.0 B,"telecom, oil service, real estate"
2682,Dou Zhenggang,$1.0 B,"Energy, chemicals"
2683,Ryan Graves,$1.0 B,Uber
2684,Kim Jae-young,$1.0 B,Online games
2685,Cai Hongbin,$1.0 B,Pharmaceuticals
2686,Lee Seung-gun,$1.0 B,fintech
2687,Edouard Carmignac,$1.0 B,Asset management
2688,Zhou Junjie,$1.0 B,equipment
2689,Tang Ye,$1.0 B,software
2690,Hedda im Brahm-Droege,$1.0 B,Investments
2691,Tseng Sing-ai,$1.0 B,Petrochemicals
2692,Tadako Nakatani,$1.0 B,Medical diagnostic equipment
2693,Zhang Yubai,$1.0 B,Wine
2694,Lu Zhongfang,$1.0 B,Education
2695,Denis Frolov,$1.0 B,IT
2696,Arnold Schwarzenegger,$1.0 B,"Movies, investments"
2697,Edward Netylko,$1.0 B,pharmacy
2698,Louis Bacon,$1.0 B,Hedge funds
2699,Oliver Samwer,$1.0 B,tech investments
2700,Larry Silverstein,$1.0 B,Real estate
2701,Prachak Tangkaravakoon,$1.0 B,Paints
2702,Neerja Sethi,$1.0 B,IT consulting
2703,Jeff Sprecher,$1.0 B,stock exchanges
2704,Shin Dong-joo,$1.0 B,retail
2705,Sam Altman,$1.0 B,Investments
2706,Michael S. Smith,$1.0 B,Liquefied natural gas
2706,Richard Kurtz,$1.0 B,Real estate
2706,Henadiy Boholyubov,$1.0 B,"Banking, investments"
2706,James Peng,$1.0 B,Technology
2710,Zhu Yiwen & family,$1.0 B,Healthcare
2711,Xu Wanmao,$1.0 B,Education
2712,Wang Jianfeng & family,$1.0 B,Auto parts
2713,Eiichi Kuriwada,$1.0 B,Package delivery
2714,Kanye West,$0.4 B,"music, sneakers"
2715,Gary Wang,$0.0 B,cryptocurrency exchange
2715,Elizabeth Holmes,$0.0 B,blood testing
2715,Rene Benko,$0.0 B,"Real estate, retail"
2715,Sam Bankman-Fried,$0.0 B,cryptocurrency exchange
